,flux
2016/3/31,84.20488
2016/4/1,81.986496
2016/4/2,82.28908
2016/4/3,81.48216
2016/4/4,82.79332
2016/4/5,83.2975
2016/4/6,83.49915
2016/4/7,88.03393
2016/4/8,93.26814
2016/4/9,99.098755
2016/4/10,107.72952
2016/4/11,112.63922
2016/4/12,115.942566
2016/4/13,112.93964
2016/4/14,111.337204
2016/4/15,112.53908
2016/4/16,114.54146
2016/4/17,111.73787
2016/4/18,104.31944
2016/4/19,96.68706
2016/4/20,90.249176
2016/4/21,84.406494
2016/4/22,77.95015
2016/4/23,77.95015
2016/4/24,79.86789
2016/4/25,83.599976
2016/4/26,83.39833
2016/4/27,86.82512
2016/4/28,93.16755
2016/4/29,95.68178
2016/4/30,94.173416
2016/5/1,95.78232
2016/5/2,94.173416
2016/5/3,94.173416
2016/5/4,91.658295
2016/5/5,92.463295
2016/5/6,90.14851
2016/5/7,90.249176
2016/5/8,90.34985
2016/5/9,86.22059
2016/5/10,89.74582
2016/5/11,92.06081
2016/5/12,94.5757
2016/5/13,94.37456
2016/5/14,97.491104
2016/5/15,104.419785
2016/5/16,112.438934
2016/5/17,105.82423
2016/5/18,107.02768
2016/5/19,104.92143
2016/5/20,102.31224
2016/5/21,103.31596
2016/5/22,100.90665
2016/5/23,100.60539
2016/5/24,99.19923
2016/5/25,97.69209
2016/5/26,96.68706
2016/5/27,93.26814
2016/5/28,92.76514
2016/5/29,89.8465
2016/5/30,86.01906
2016/5/31,89.54445
2016/6/1,89.74582
2016/6/2,90.04784
2016/6/3,88.23535
2016/6/4,86.32135
2016/6/5,82.994995
2016/6/6,81.48216
2016/6/7,80.87688
2016/6/8,81.28041
2016/6/9,82.38992
2016/6/10,88.336075
2016/6/11,88.23535
2016/6/12,94.37456
2016/6/13,96.3855
2016/6/14,93.7711
2016/6/15,90.85314
2016/6/16,90.14851
2016/6/17,91.05444
2016/6/18,89.041
2016/6/19,87.02661
2016/6/20,86.92587
2016/6/21,86.62362
2016/6/22,83.700806
2016/6/23,81.58303
2016/6/24,80.775986
2016/6/25,78.959595
2016/6/26,80.372406
2016/6/27,79.86789
2016/6/28,78.55584
2016/6/29,76.13255
2016/6/30,76.43554
2016/7/1,75.829544
2016/7/2,74.81937
2016/7/3,73.831535
2016/7/4,75.22347
2016/7/5,76.94047
2016/7/6,77.445335
2016/7/7,81.17953
2016/7/8,86.92587
2016/7/9,90.249176
2016/7/10,95.4807
2016/7/11,98.29501
2016/7/12,98.6969
2016/7/13,96.3855
2016/7/14,98.79736
2016/7/15,98.39549
2016/7/16,105.12207
2016/7/17,109.73417
2016/7/18,113.34015
2016/7/19,111.83803
2016/7/20,108.03027
2016/7/21,113.039764
2016/7/22,105.523315
2016/7/23,93.56992
2016/7/24,89.74582
2016/7/25,83.49915
2016/7/26,76.43554
2016/7/27,75.52652
2016/7/28,74.028496
2016/7/29,73.043625
2016/7/30,73.240616
2016/7/31,73.3391
2016/8/1,74.22545
2016/8/2,75.02142
2016/8/3,76.43554
2016/8/4,77.34437
2016/8/5,79.464226
2016/8/6,82.692474
2016/8/7,85.71675
2016/8/8,97.189606
2016/8/9,100.10323
2016/8/10,97.39061
2016/8/11,97.290115
2016/8/12,99.40013
2016/8/13,96.3855
2016/8/14,93.16755
2016/8/15,89.947174
2016/8/16,90.04784
2016/8/17,88.23535
2016/8/18,84.910484
2016/8/19,83.902435
2016/8/20,82.79332
2016/8/21,80.6751
2016/8/22,78.959595
2016/8/23,82.490776
2016/8/24,83.19667
2016/8/25,80.5742
2016/8/26,81.58303
2016/8/27,84.80969
2016/8/28,86.62362
2016/8/29,88.53749
2016/8/30,92.06081
2016/8/31,101.8103
2016/9/1,99.19923
2016/9/2,98.596436
2016/9/3,99.299675
2016/9/4,101.50911
2016/9/5,98.194534
2016/9/6,94.67626
2016/9/7,94.173416
2016/9/8,94.5757
2016/9/9,94.5757
2016/9/10,92.16144
2016/9/11,94.37456
2016/9/12,88.23535
2016/9/13,87.22809
2016/9/14,86.52287
2016/9/15,86.42211
2016/9/16,86.22059
2016/9/17,85.21285
2016/9/18,81.784775
2016/9/19,83.700806
2016/9/20,84.406494
2016/9/21,85.5152
2016/9/22,86.52287
2016/9/23,84.70889
2016/9/24,86.01906
2016/9/25,85.11207
2016/9/26,84.30568
2016/9/27,86.92587
2016/9/28,85.615974
2016/9/29,84.910484
2016/9/30,82.994995
2016/10/1,80.271515
2016/10/2,80.372406
2016/10/3,82.994995
2016/10/4,88.6382
2016/10/5,93.67051
2016/10/6,98.9983
2016/10/7,102.513
2016/10/8,104.92143
2016/10/9,105.02174
2016/10/10,104.72078
2016/10/11,102.914505
2016/10/12,100.10323
2016/10/13,98.29501
2016/10/14,95.78232
2016/10/15,92.66452
2016/10/16,84.30568
2016/10/17,81.07864
2016/10/18,76.23355
2016/10/19,77.34437
2016/10/20,76.23355
2016/10/21,74.920395
2016/10/22,77.04144
2016/10/23,76.63752
2016/10/24,76.53653
2016/10/25,75.02142
2016/10/26,76.94047
2016/10/27,77.04144
2016/10/28,78.0511
2016/10/29,78.0511
2016/10/30,78.0511
2016/10/31,75.52652
2016/11/1,75.93055
2016/11/2,75.52652
2016/11/3,74.920395
2016/11/4,74.52086
2016/11/5,75.62753
2016/11/6,75.72854
2016/11/7,75.32449
2016/11/8,75.62753
2016/11/9,75.62753
2016/11/10,78.35395
2016/11/11,78.55584
2016/11/12,77.74823
2016/11/13,77.24339
2016/11/14,76.63752
2016/11/15,75.829544
2016/11/16,74.920395
2016/11/17,78.75772
2016/11/18,76.7385
2016/11/19,76.43554
2016/11/20,75.52652
2016/11/21,74.61933
2016/11/22,73.831535
2016/11/23,75.72854
2016/11/24,76.23355
2016/11/25,77.142426
2016/11/26,78.85866
2016/11/27,79.464226
2016/11/28,80.775986
2016/11/29,83.2975
2016/11/30,84.30568
2016/12/1,81.885635
2016/12/2,82.38992
2016/12/3,82.28908
2016/12/4,82.89415
2016/12/5,82.28908
2016/12/6,80.47331
2016/12/7,78.0511
2016/12/8,75.52652
2016/12/9,72.64962
2016/12/10,70.77769
2016/12/11,71.0733
2016/12/12,69.673836
2016/12/13,69.31018
2016/12/14,69.673836
2016/12/15,70.679146
2016/12/16,70.679146
2016/12/17,70.40104
2016/12/18,70.03746
2016/12/19,70.77769
2016/12/20,71.17184
2016/12/21,73.53608
2016/12/22,73.043625
2016/12/23,73.14212
2016/12/24,71.664474
2016/12/25,71.17184
2016/12/26,70.58282
2016/12/27,71.56595
2016/12/28,71.46742
2016/12/29,71.46742
2016/12/30,71.46742
2016/12/31,71.46742
2017/1/1,71.56595
2017/1/2,70.679146
2017/1/3,70.58282
2017/1/4,71.0733
2017/1/5,70.77769
2017/1/6,70.97476
2017/1/7,70.12836
2017/1/8,69.76474
2017/1/9,69.76474
2017/1/10,69.49201
2017/1/11,70.87623
2017/1/12,72.058556
2017/1/13,73.53608
2017/1/14,72.64962
2017/1/15,74.126976
2017/1/16,75.62753
2017/1/17,76.43554
2017/1/18,76.43554
2017/1/19,76.7385
2017/1/20,77.445335
2017/1/21,81.38129
2017/1/22,84.20488
2017/1/23,84.406494
2017/1/24,81.07864
2017/1/25,79.86789
